portfolio_rank,rank,ticker,name,sector,industry,country,theme,price,market_cap_bil,dollar_volume_mil,revenue_growth_1y,revenue_growth_2y,revenue_growth_3y,gross_margin,fcf_growth,debt_ratio,rsi,gap50,dist_high,above200,acceleration_score,transition_score,persistence_score,upside_score,entry_score,entry_grade,risk_penalty,acceleration_final,transition_final,persistence_final,total_score,best_type,snapshot_date
8,2,FA,First Advantage Corporation - Common Stock,Industrials,Specialty Business Services,United States,その他,16.489999771118164,2.828645632,13.65371981048584,0.8302486035305537,0.1262751043847486,-0.0571119585493251,0.4567378201956441,3.0,0.544924333598866,60.985629862126416,0.1756988747393771,0.1038043416853436,True,82,75,38,100,50,B,0,81.5,76.25,55.900000000000006,81.5,Acceleration,2026-06-14
9,3,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,286.7799987792969,3.646191616,182.1210721247864,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.1542905678493613,69.79902179215989,0.1591538673021668,0.0,True,85,64,100,85,25,D,0,79.0,63.25,81.25,81.25,Persistence,2026-06-14
10,4,AMBA,"Ambarella, Inc. - Ordinary Shares",Technology,Semiconductor Equipment & Materials,United States,半導体,67.77999877929688,2.973385472,123.5249809753418,0.3715338844715918,0.2578265054708267,-0.3291766141597009,0.5919242798859489,1.4730334683436368,0.0168231905835211,35.3403448808816,-0.0216654155341428,0.2903361191153673,False,74,68,46,100,63,B,0,76.8,72.3,62.9,76.8,Acceleration,2026-06-14
1,1,AVPT,"AvePoint, Inc. - Class A Common Stock",Technology,Software - Infrastructure,United States,ソフトウェア,10.890000343322754,2.308867328,29.47688957930088,0.269349011443891,0.2157895704957233,0.1699499438320729,0.7406393847870187,-0.0553999929110693,0.0126067404055596,53.08643477312143,0.0490420157873102,0.4360434673998946,False,57,47,92,100,65,A,0,64.25,56.75,88.6,88.6,Persistence,2026-06-28
2,2,APPF,"AppFolio, Inc. - Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,155.63999938964844,5.503201792,63.02797415283203,0.1972042377128237,0.2800522205836134,0.314828040001441,0.6367974237028592,0.3013543456758743,0.0553872681855589,40.5105823529638,-0.0340586862609932,0.5155175116275535,False,22,14,97,85,65,A,0,35.75,29.75,87.6,87.6,Persistence,2026-06-28
3,3,BRZE,"Braze, Inc. - Class A Common Stock",Technology,Software - Application,United States,ソフトウェア,21.020000457763672,2.367517696,60.24510801198959,0.2439662290827589,0.257757524374735,0.3274211790921317,0.6714563617102557,1.9581295843520783,0.0742118792519373,34.170862619808304,-0.0616322578467919,0.4191765334235059,False,33,17,97,100,45,C,0,44.25,32.25,87.35,87.35,Persistence,2026-06-28
4,2,EXE,Expand Energy Corporation - Common Stock,Energy,Oil & Gas E&P,United States,電力/エネルギー,88.47000122070312,21.164576768,339.03739277801515,1.8877043354655287,-0.4571061093247588,-0.3205453115441755,0.5084912626138322,3.0,0.1788807579453459,34.32054788147843,-0.0577188557889445,0.2717791809030826,False,73,87,46,65,53,B,0,69.8,80.3,52.15,80.3,Transition,2026-06-28
5,3,SITM,SiTime Corporation - Common Stock,Technology,Semiconductors,United States,半導体,672.1900024414062,17.743683584,465.31008539001465,0.6115680054465532,0.4076864847596758,-0.4922762292625306,0.5356823608645075,3.0,0.0027882928773406,56.674991792253074,-0.0006669255258099,0.2543483859820358,True,78,83,46,65,83,S,0,76.55,80.3,58.15,80.3,Transition,2026-06-28
6,3,LASR,"nLIGHT, Inc. - Common Stock",Technology,Semiconductors,United States,半導体,61.369998931884766,3.46180224,81.19895243677139,0.3162056530410782,-0.0541775239256672,-0.132765700782457,0.298331611372594,2.1950247789330484,0.1148662796231084,41.06858074846252,-0.1392839858249835,0.2775750307645578,True,66,81,30,85,61,B,0,68.35,79.6,49.95,79.6,Transition,2026-06-28
7,2,DAVE,Dave Inc.  - Class A Common Stock,Technology,Software - Application,United States,ソフトウェア,348.7099914550781,4.433585152,263.26383869888303,0.5967165692816558,0.3395807682955541,0.2648678467862408,0.8668668415791202,1.4090920688921964,0.1542905678493613,77.87157756209533,0.2912047749683429,0.0,True,85,64,100,85,10,D,0,77.5,61.75,78.25,78.25,Persistence,2026-06-28
